mssv,dien_tt,diem_tt,lop12_matinh,lop12_matruong,TEN_TRUONG
F94DE2CDXPvAibaEXe+yU1j0ocViqVVrG08BKChW,THPT,0.8,35.0,32.0,Trung tâm GDNN-GDTX huyện Mộ Đức
FA254441XPvAibaEXe+yU1j0ocViqeDyPSpZ8AwW,THPT,0.8833333333333333,48.0,87.0,THPT Nguyễn Bỉnh Khiêm
EB87A112XPvAibaEXe+yU1j0ocViqSbXKj24nkqQ,THPT,0.8833333333333333,48.0,3.0,THPT Ngô Quyền
A4EEB45EXPvAibaEXe+wmtNhlfgIwjN3iuw7Uj8E,THPT,0.9166666666666666,51.0,37.0,THPT Nguyễn Bỉnh Khiêm
02C4644FXPvAibaEXe+wmtNhlfgIwhu0VSXU3tYN,THPT,0.8666666666666667,31.0,4.0,THPT Chuyên Võ Nguyên Giáp
B3A50C98XPvAibaEXe+wmtNhlfgIwn75T0yboEDj,THPT,0.8333333333333334,51.0,31.0,THPT Châu Văn Liêm
C4B57B74XPvAibaEXe+wmtNhlfgIwrNTVgutCknX,THPT,0.9166666666666666,42.0,21.0,THPT Di Linh
EAFB8611XPvAibaEXe+wmtNhlfgIwhUtxuTJu+OP,THPT,0.8,45.0,17.0,THPT chuyên Lê Quí Đôn
EAD40691XPvAibaEXe+wmtNhlfgIwtb87cTjmzYb,THPT,0.85,52.0,8.0,THCS - THPT Song ngữ
6B2F14CCXPvAibaEXe+wmtNhlfgIwsa71h+ulLl3,THPT,0.9666666666666667,2.0,42.0,THPT Nguyễn An Ninh
66B24040XPvAibaEXe+wmtNhlfgIwn9iSiemRgPv,THPT,0.7333333333333333,45.0,4.0,THPT An Phước
08890FF6XPvAibaEXe+wmtNhlfgIwlWvQAJnsgPn,THPT,0.9,2.0,62.0,THPT Thanh Đa
177E1625XPvAibaEXe+wmtNhlfgIwqLKPQJCRQi5,THPT,0.8,40.0,10.0,THPT Buôn Hồ
2974F9D5XPvAibaEXe+lwq621ApacRtRVVgBsUrf,THPT,0.8166666666666667,50.0,840.0,THPT Nguyễn Trãi
