mssv,ngaythi,url,loaixn,tongdiem,ngay_xet_loai,thoi_gian_nop_bang,ket_qua_xet_loai,year,month,day
987A45F8XPvAibaEXe/k62DFAfrQTjTWj8l5+7cT,2020-05-09,bangcap/14520962/14520962_bangcap_VNU-EPT_20200818193106.jpg,VNU-EPT,186.0,2020-08-20 15:21:43.000000000,2020-08-18,,2020,8,20
989D5F40XPvAibaEXe+Pxorfe/k8CXZj6BvxcBD7,2020-10-19,bangcap/19521349/19521349_bangcap_TOEIC_LR_20201114075333.jpg,TOEIC_LR,660.0,2020-12-16 21:13:57.343387471,2020-11-14,,2020,12,16
989D5F40XPvAibaEXe+Pxorfe/k8CXZj6BvxcBD7,2020-10-24,bangcap/19521349/19521349_bangcap_TOEIC_SW_20201114075507.jpg,TOEIC_SW,250.0,2021-02-24 09:57:48.000000000,2020-11-14,,2021,2,24
99325C17XPvAibaEXe8wlx2/dthDAuX2r9IBWF/q,,bangcap/13520583/13520583_bangcap_TOEIC_LR_20171218212517.jpg,TOEIC_LR,545.0,2018-01-30 09:12:59.000000000,2017-12-18,,2018,1,30
99908FD0XPvAibaEXe9+3TdUbRXdLT41JTu5yxw3,2019-05-25,bangcap/17521121/17521121_bangcap_TOEIC_LR_20200610164259.jpg,TOEIC_LR,780.0,2020-08-24 09:41:14.000000000,2020-06-10,,2020,8,24
99908FD0XPvAibaEXe9+3TdUbRXdLT41JTu5yxw3,2020-11-01,bangcap/17521121/17521121_bangcap_TOEIC_SW_20201120200537.jpg,TOEIC_SW,320.0,2021-02-24 09:57:24.000000000,2020-11-20,,2021,2,24
999A85F6XPvAibaEXe+SrLE9JUD3pKt4JI3o/RBG,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/15520438/15520438_chungchi_IELTS_20180130142332.jpg,IELTS,,2018-02-02 10:21:30.000000000,2018-01-30,đạt chuẩn,2018,2,2
99C805CDXPvAibaEXe+gzQv7yQRYbhp0ZjcK5+QS,2020-06-28,bangcap/18521148/18521148_bangcap_TOEIC_LR_20200728160945.jpg,TOEIC_LR,515.0,2020-08-13 10:47:02.000000000,2020-07-28,,2020,8,13
9A0CC77AXPvAibaEXe/eCkq6I30ZSoqj3KyLdXuQ,2018-11-27,bangcap/15520060/15520060_bangcap_TOEIC_LR_20201124160213.jpeg,TOEIC_LR,640.0,2020-12-26 21:13:57.343387471,2020-11-24,,2020,12,26
9A534655XPvAibaEXe9pz/hgBFL5IMz3QIOfxnu8,2018-12-29,bangcap/15520462/15520462_bangcap_TOEIC_LR_20190122155552.jpg,TOEIC_LR,635.0,2019-04-12 15:35:57.000000000,2019-01-22,,2019,4,12
9A534655XPvAibaEXe9pz/hgBFL5IMz3QIOfxnu8,2020-05-10,bangcap/15520462/15520462_bangcap_TOEIC_SW_20200525140927.png,TOEIC_SW,225.0,2020-06-30 10:28:18.000000000,2020-05-25,,2020,6,30
9A59ECBEXPvAibaEXe8Lp0YaxzdqUmywoo3dCxqM,2019-10-09,bangcap/15520417/15520417_bangcap_TOEIC_LR_20191212151053.jpg,TOEIC_LR,635.0,2020-01-03 13:57:47.000000000,2019-12-12,,2020,1,3
