mssv,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
0406981FXPvAibaEXe+M8JaUhbJyecydVJn03CsO,56,83,76,90,76,75,74,90,58,58,58,58,50,-1,-1,-1
040FD8DEXPvAibaEXe/kICEDbR0UVwuxkPi4/pHP,60,60,83,83,62,62,75,64,-1,-1,-1,-1,-1,-1,-1,-1
0417503EXPvAibaEXe8H3WiBIMjs75bydCZ/34xl,80,84,90,84,92,63,65,73,45,-1,-1,-1,-1,-1,-1,-1
0419426CXPvAibaEXe/EvmuerN6w1BIIPdWHHov2,76,80,76,75,81,84,76,79,70,-1,-1,-1,-1,-1,-1,-1
04234787XPvAibaEXe+4ETeamtJzhG84K01qWXLW,95,81,85,81,91,76,68,-1,-1,-1,-1,-1,-1,-1,-1,-1
043AE465XPvAibaEXe86sbeN0/YCTVJDeWwsGcv7,66,83,100,85,91,90,83,74,53,71,58,58,50,-1,-1,-1
043B0CDAXPvAibaEXe8d5+4VMyfVsO7O83z9K9IN,100,83,77,86,84,74,70,-1,-1,-1,-1,-1,-1,-1,-1,-1
043ECE64XPvAibaEXe8p7+QBLh7hjqIhsiZHycCn,85,95,95,79,89,79,81,71,82,72,58,-1,-1,-1,-1,-1
045380DDXPvAibaEXe+ItThaeWSaTjqzWjK/+ZK7,76,80,76,85,95,100,83,91,86,66,58,-1,-1,-1,-1,-1
0457DCC0XPvAibaEXe/CDMtnBauOUNMC60BG9GmS,90,85,100,90,100,100,100,86,-1,-1,-1,-1,-1,-1,-1,-1
0460817DXPvAibaEXe/57ZZLpsI5pdWpukWEzeJA,95,81,85,77,94,87,89,-1,-1,-1,-1,-1,-1,-1,-1,-1
0463ACC3XPvAibaEXe+Ps8zYokGtSapa8Xbcuvzs,90,80,95,85,88,79,98,84,66,66,58,-1,-1,-1,-1,-1
0465165BXPvAibaEXe/Tj2XE44nW1VO48EXU9ogX,90,99,100,100,100,97,100,90,-1,-1,-1,-1,-1,-1,-1,-1
