id,mssv,total,mamh,khoahoc,namhoc,hedt,english_evaluted
1727.0,F1AF1834XPvAibaEXe/nw3DhNQnHf60WkpUCPXjg,45.0,ENG01,12.0,2017.0, CQUI,3.5
1728.0,57CC6F79XPvAibaEXe/nw3DhNQnHf87snxdmGLc7,57.0,ENG01,12.0,2017.0, CQUI,3.5
1729.0,43386D57XPvAibaEXe/nw3DhNQnHfzJZvI0o00SJ,65.0,ENG01,12.0,2017.0, CLC,3.5
1730.0,08B2C14EXPvAibaEXe/nw3DhNQnHf02cfEIDMqEZ,57.0,ENG01,12.0,2017.0, CLC,3.5
1731.0,2D45BA9BXPvAibaEXe/nw3DhNQnHf2Fnx9IF55yH,69.0,ENG01,12.0,2017.0, CQUI,3.5
1732.0,1CA21FE7XPvAibaEXe/nw3DhNQnHf2IEtVzSrRsz,60.0,ENG01,12.0,2017.0, CQUI,3.5
1733.0,BCE371D9XPvAibaEXe/nw3DhNQnHfzsc5hFNGIFx,56.0,ENG01,12.0,2017.0, CLC,3.5
1734.0,0E01B42BXPvAibaEXe/nw3DhNQnHfx78goHY5uai,67.0,ENG01,12.0,2017.0, CQUI,3.5
1735.0,D127D9ABXPvAibaEXe/nw3DhNQnHf7vpirJnNNNV,36.0,AVSC,12.0,2017.0, CQUI,1.75
1736.0,2A0444D8XPvAibaEXe8YlvtcvZCDlX6HDq24dliV,69.0,ENG01,12.0,2017.0, CQUI,3.5
1737.0,E6C61EC6XPvAibaEXe8YlvtcvZCDlYtg1BCZ1KoK,36.0,AVSC,12.0,2017.0, CLC,1.75
1738.0,1594A858XPvAibaEXe8YlvtcvZCDlV3AYBmyr/Kn,60.0,ENG01,12.0,2017.0, CQUI,3.5
1739.0,EFA7B0CBXPvAibaEXe8YlvtcvZCDlUhJKfH2ifYh,48.0,ENG01,12.0,2017.0, CLC,3.5
1740.0,EB376B49XPvAibaEXe8YlvtcvZCDlc3LiWWIRi7k,67.0,ENG01,12.0,2017.0, CLC,3.5
1741.0,5C4DFCF2XPvAibaEXe8YlvtcvZCDleQPri+W3u5z,59.0,ENG01,12.0,2017.0, CQUI,3.5
1742.0,267055F6XPvAibaEXe8YlvtcvZCDlYwsXo+OnCMP,82.0,ENG02,12.0,2017.0, CQUI,5.25
1743.0,96C81740XPvAibaEXe8YlvtcvZCDlVP7NjTRSWFb,86.0,ENG02,12.0,2017.0, CQUI,5.25
1744.0,EF0159F7XPvAibaEXe8YlvtcvZCDlaUUYuvL8VFl,54.0,ENG01,12.0,2017.0, CLC,3.5
1746.0,A3B16A38XPvAibaEXe+fBpTg8OXoulsFMFhUjAu/,72.0,ENG02,12.0,2017.0, CQUI,5.25
1747.0,3B5A2570XPvAibaEXe+fBpTg8OXouiUqUrsrrpm4,38.0,AVSC,12.0,2017.0, CQUI,1.75
1748.0,B5ED311BXPvAibaEXe+fBpTg8OXouoJxdPOkwhz5,70.0,ENG01,12.0,2017.0, CLC,3.5
1749.0,05EE77E5XPvAibaEXe+fBpTg8OXousIA2IYzVnHo,77.0,ENG02,12.0,2017.0, CNTN,5.25
1750.0,1A70D9FDXPvAibaEXe+fBpTg8OXour/iKgqvP4cm,48.0,ENG01,12.0,2017.0, CQUI,3.5
1751.0,6360ECCBXPvAibaEXe+fBpTg8OXousUD5CXpoXJf,68.0,ENG01,12.0,2017.0, CLC,3.5
1752.0,99F828F0XPvAibaEXe+fBpTg8OXoun7X9qxaZjFs,63.0,ENG01,12.0,2017.0, CQUI,3.5
1753.0,456F3DABXPvAibaEXe+fBpTg8OXoukkBcZze7Rfx,61.0,ENG01,12.0,2017.0, CQUI,3.5
1754.0,3BC3A57BXPvAibaEXe+fBpTg8OXoupFSZJebAGRu,46.0,ENG01,12.0,2017.0, CLC,3.5
1755.0,2935531CXPvAibaEXe+fBpTg8OXouklKrc9OO2/C,62.0,ENG01,12.0,2017.0, CLC,3.5
1756.0,CB548A33XPvAibaEXe+T+pdYLenbrh/MSouM7hbM,41.0,ENG01,12.0,2017.0, CQUI,3.5
1757.0,08573CE9XPvAibaEXe+T+pdYLenbrucq28CqwkCu,53.0,ENG01,12.0,2017.0, CQUI,3.5
1758.0,9AF6E142XPvAibaEXe+T+pdYLenbriRhLpNmNOlR,39.0,AVSC,12.0,2017.0, CLC,1.75
1759.0,6E1C6806XPvAibaEXe+T+pdYLenbrs1NpbeoDYfY,42.0,ENG01,12.0,2017.0, CLC,3.5
1760.0,CE57739AXPvAibaEXe+T+pdYLenbrvHRkIZwWOV8,43.0,ENG01,12.0,2017.0, CQUI,3.5
1761.0,8575BCE8XPvAibaEXe+T+pdYLenbrq6K/k7KlA6S,69.0,ENG01,12.0,2017.0, CLC,3.5
1762.0,A250E6A4XPvAibaEXe+T+pdYLenbrtvSIsNnchc4,65.0,ENG01,12.0,2017.0, CQUI,3.5
1763.0,EA90C578XPvAibaEXe+T+pdYLenbroGWp4XpE1fi,47.0,ENG01,12.0,2017.0, CQUI,3.5
1764.0,64C7CD4BXPvAibaEXe+T+pdYLenbrg640+xMiapE,85.0,ENG02,12.0,2017.0, CQUI,5.25
1765.0,02B1B771XPvAibaEXe/MFNByxh05bwp2psmEm6tl,66.0,ENG01,12.0,2017.0, CQUI,3.5
1766.0,854BACA2XPvAibaEXe/MFNByxh05b03wVM7UTjgR,38.0,AVSC,12.0,2017.0, CLC,1.75
1767.0,FD6D28D0XPvAibaEXe/MFNByxh05byrPHkYlzNOq,48.0,ENG01,12.0,2017.0, CQUI,3.5
1768.0,8935FA37XPvAibaEXe/MFNByxh05b8RCsO0REEK9,57.0,ENG01,12.0,2017.0, CLC,3.5
1769.0,4D9103C3XPvAibaEXe/MFNByxh05b5IJj//R6UPD,64.0,ENG01,12.0,2017.0, CLC,3.5
1770.0,0C893A49XPvAibaEXe/MFNByxh05b28wNbqwsCec,42.0,ENG01,12.0,2017.0, CQUI,3.5
1771.0,1E875540XPvAibaEXe/MFNByxh05b5BrS1i0Rr6P,60.0,ENG01,12.0,2017.0, CLC,3.5
1772.0,D78CCA63XPvAibaEXe/M+/uAwVeHhFsvW6Nr7w4b,38.0,AVSC,12.0,2017.0, CLC,1.75
1773.0,8B9C9D85XPvAibaEXe/M+/uAwVeHhFw+4PtC9yPm,69.0,ENG01,12.0,2017.0, CLC,3.5
1774.0,D4ED7282XPvAibaEXe/M+/uAwVeHhHldEPTAO8Mm,65.0,ENG01,12.0,2017.0, CLC,3.5
1775.0,AF93F8A0XPvAibaEXe/M+/uAwVeHhGHEsoMp+ofs,82.0,ENG02,12.0,2017.0, CQUI,5.25
1776.0,65307159XPvAibaEXe/M+/uAwVeHhF0l8PPcZeCL,58.0,ENG01,12.0,2017.0, KSTN,3.5
1777.0,CC4635AEXPvAibaEXe/M+/uAwVeHhL/CCuA5pOSu,33.0,AVSC,12.0,2017.0, CQUI,1.75
1778.0,5224906BXPvAibaEXe/M+/uAwVeHhHk9cAteZsrT,78.0,ENG02,12.0,2017.0, CLC,5.25
1779.0,42E2C20AXPvAibaEXe/M+/uAwVeHhLIcah+o4wGg,86.0,ENG02,12.0,2017.0, CLC,5.25
1780.0,9E645EC5XPvAibaEXe/M+/uAwVeHhM1FmATJJ6hd,52.0,ENG01,12.0,2017.0, CLC,3.5
1781.0,E2EB5F46XPvAibaEXe/M+/uAwVeHhH14js6gHwcE,65.0,ENG01,12.0,2017.0, CQUI,3.5
1782.0,1AA45701XPvAibaEXe/QPFjJxKB5fsGyiyn34kie,45.0,ENG01,12.0,2017.0, CLC,3.5
1783.0,6D1A1DEDXPvAibaEXe/QPFjJxKB5fpLgT14lsTo2,52.0,ENG01,12.0,2017.0, CQUI,3.5
1784.0,A11F7E03XPvAibaEXe/QPFjJxKB5fuux5ahOMD0p,34.0,AVSC,12.0,2017.0, CQUI,1.75
1785.0,200C3EF0XPvAibaEXe/QPFjJxKB5fsf40am+aYri,56.0,ENG01,12.0,2017.0, KSTN,3.5
1786.0,3569491FXPvAibaEXe/QPFjJxKB5fnbuQJAzOqe3,32.0,AVSC,12.0,2017.0, CQUI,1.75
1787.0,E969972FXPvAibaEXe/QPFjJxKB5fofHe1UuyKfI,29.0,AVSC,12.0,2017.0, CQUI,1.75
1788.0,024F7582XPvAibaEXe/QPFjJxKB5fpc+JU5L2yoh,70.0,ENG01,12.0,2017.0, CQUI,3.5
1789.0,41A97858XPvAibaEXe/QPFjJxKB5frHNbDjtoh40,44.0,ENG01,12.0,2017.0, CQUI,3.5
1790.0,887B8381XPvAibaEXe/QPFjJxKB5foYIyAdyt4vI,96.0,ENG03,12.0,2017.0, CLC,7.0
1791.0,9987C147XPvAibaEXe/QPFjJxKB5fk0Fx8scIu5w,15.0,AVSC,12.0,2017.0, CQUI,1.75
1792.0,0FE54F50XPvAibaEXe+RTFcnyQdP1ugQiGtVaQG/,39.0,AVSC,12.0,2017.0, CLC,1.75
1793.0,E7547F9AXPvAibaEXe+RTFcnyQdP1hnu+/lWnxzT,59.0,ENG01,12.0,2017.0, CQUI,3.5
1794.0,1BA6A3FFXPvAibaEXe+RTFcnyQdP1qMr4WIMfC7s,70.0,ENG01,12.0,2017.0, CQUI,3.5
1795.0,50B7C353XPvAibaEXe+RTFcnyQdP1lgeEHD3c3x7,57.0,ENG01,12.0,2017.0, CQUI,3.5
1796.0,5066E750XPvAibaEXe+RTFcnyQdP1gV8o5sqlLTq,39.0,AVSC,12.0,2017.0, CQUI,1.75
1797.0,479EBE2EXPvAibaEXe+RTFcnyQdP1gfGfoRc/nF7,76.0,ENG02,12.0,2017.0, CQUI,5.25
1798.0,1CF049EDXPvAibaEXe+RTFcnyQdP1ikn+F6Kk5yH,47.0,ENG01,12.0,2017.0, CLC,3.5
1799.0,5F21F5B1XPvAibaEXe+RTFcnyQdP1mD5RKOJrITl,61.0,ENG01,12.0,2017.0, CLC,3.5
1800.0,E01BB56AXPvAibaEXe+RTFcnyQdP1qjviajlfWCw,74.0,ENG02,12.0,2017.0, CQUI,5.25
