mssv,sotc
083114FCXPvAibaEXe82Wr/pV+5kbPCufWlUbERC,3.0
083449BAXPvAibaEXe+ZElE6oab11bASB5vYpSrp,7.0
0835A296XPvAibaEXe+WyjAMa+c6gl9Iw5QpdaDA,3.0
083A7395XPvAibaEXe+QctIYCWb8TDKLqdRGe1ks,6.0
0852976FXPvAibaEXe8BcBqSm3bVhj7PwHsplpJx,34.0
08573CE9XPvAibaEXe+T+pdYLenbrucq28CqwkCu,2.0
0869AC1AXPvAibaEXe9puzAyruoCKS8Bvkqa7arm,4.0
086DF147XPvAibaEXe/q/d6S7LoUw4tVaLlsfE7p,2.0
0872EEF0XPvAibaEXe/HJUIcbGqQ3tM33i0PD2yw,85.0
08782EBCXPvAibaEXe9zVZKaStZ09MV9x0bcbU8i,19.0
088350C2XPvAibaEXe+LLvbxzunmJHB3BF9TCyq/,13.0
088611CDXPvAibaEXe+y9Z7iOH0a5LT21fktdHMZ,15.0
088767B5XPvAibaEXe+Y5CB/5gt3MAZxW0JDh9YA,31.0
08890FF6XPvAibaEXe+wmtNhlfgIwlWvQAJnsgPn,9.0
088AADDBXPvAibaEXe8NZ2cy8d9iU6Vuw8DVQg6k,62.0
088F3DA0XPvAibaEXe/wCW11PHqg552Uqb7oXu1V,46.0
089BF6C6XPvAibaEXe/D+7l5keqQGG/Zf6kR6vUI,13.0
08A72C75XPvAibaEXe9JezsmM1abktkVeTc3KX7J,17.0
08B2C14EXPvAibaEXe/nw3DhNQnHf02cfEIDMqEZ,4.0
08B4D570XPvAibaEXe9B92Nhb2J329EtrcKdcZVs,3.0
08BC841DXPvAibaEXe9iKIRwqei6/L0WWlLQs16x,4.0
08BCA73BXPvAibaEXe8VekUw4ELehgGhnY+JjnAc,91.0
08CBD18EXPvAibaEXe+rucNIMwNDA5sDARWnhseX,33.0
08CF8251XPvAibaEXe940vcGUhedsMkAvkCWORPM,6.0
08CF999FXPvAibaEXe/vmfZ7T7IlN/7WtBbJT4pd,12.0
08D8F2C1XPvAibaEXe/rdVrNjJfu5skJX1oEmPz6,38.0
08D97C0DXPvAibaEXe9G9TgPoPa7msky3e8EOoj5,26.0
08EA17C8XPvAibaEXe8G83HieIGDACHJD1dodw1M,20.0
08F21114XPvAibaEXe/OCFZfQ2ZyrXQK5cPCEYzi,47.0
08F7EA47XPvAibaEXe85qP6RA1XpqnfXLLiqhSVu,23.0
08FB263BXPvAibaEXe9Z67almz7y5semmAKozmbp,7.0
08FD0214XPvAibaEXe9tz4fJBCYpd4XpFyTLbc7r,7.0
08FD27ADXPvAibaEXe917PYvJ9Jl7QAVZU4PwZly,13.0
090291BEXPvAibaEXe+6Ui7LQICVSTfyNi2mdImk,43.0
09039048XPvAibaEXe8Yz5YviIhrt5lpWYEeQFv6,4.0
09238D06XPvAibaEXe+M91Hzrx3qMP7qlUOm2nUh,4.0
09249409XPvAibaEXe/eIEf3KCj9KB87lZItbUQk,8.0
09255A76XPvAibaEXe8qMRMMoGD0QqFFVjqSxmLh,19.0
093A9E7EXPvAibaEXe9MLbI3cCq2BDkMZ2Fgf9nI,8.0
093E35CEXPvAibaEXe8Honc7NrRR0xnousdq1e/q,11.0
09403288XPvAibaEXe9J9iOYucV9B8S8pk6almv+,30.0
0942DFAFXPvAibaEXe+K2/jUQ6+HvXlhBJBpEJQA,4.0
094B573AXPvAibaEXe9xNU7iiJtYr06uVjVeKBN3,53.0
09537B80XPvAibaEXe/1bsgFpjh4A5fDZoiyY8kf,17.0
09562713XPvAibaEXe/Hpk/kOf6+1RgvIg+ZGaje,41.0
096E14B9XPvAibaEXe+b/3AZFelvL+xMOTwroTmR,4.0
09A437F1XPvAibaEXe+6rwvJJbhb/IsmMJWwU67k,9.0
09AB5AEBXPvAibaEXe+nUD/GpO407ZBLksBMpouz,4.0
09BC13A6XPvAibaEXe/9fru3D939y3dBOsTvEhIt,36.0
09CB50DCXPvAibaEXe/sDxpKTuGnIKhTMmxfSnq0,8.0
09D61E02XPvAibaEXe+fZZ4ql3yAl1IPqmCxArOK,21.0
09D81761XPvAibaEXe8ydgsBCmjqA/3YAY3pxZOP,12.0
09DAA20BXPvAibaEXe8cJKtXZaLmvUsH6H9yaOrj,11.0
09DE3A51XPvAibaEXe/GEP39G15BdRSEDU3D3+LV,11.0
09E10F9CXPvAibaEXe/vmfZ7T7IlN+cNcxJNBMCH,4.0
09E53090XPvAibaEXe9VBFxKgc+YL7usUbUW9m6S,12.0
09E92908XPvAibaEXe9B4DABGWTuPdXFG5FzPync,11.0
09EA1246XPvAibaEXe9N+b7C2VGPs7VmmYGpq5S4,13.0
0A00D3A8XPvAibaEXe8f4ehXyooRK1CgrhliTmlo,95.0
0A028E35XPvAibaEXe8Sp0QRwA6RSHIv+pAKJnM6,76.0
0A0624B8XPvAibaEXe9CtFSNMbfIz13+0RDE3Ypj,53.0
0A1615C7XPvAibaEXe9dgf/EzU6ZBUhHrfzOHZLz,4.0
0A200A20XPvAibaEXe/Yd5khqDzvKFqSmuEwx/ba,4.0
0A2744ACXPvAibaEXe+4hxKfaQWuhJdFGWeKvxxz,13.0
0A275EF0XPvAibaEXe9j81k8MH0oJ07F7M1SwTm7,148.0
0A29A66BXPvAibaEXe9CFhTkHod3yS4qPQKSYcEO,45.0
0A2E8D02XPvAibaEXe+HozZBb+7rZ38QviMj8FHH,7.0
0A332809XPvAibaEXe+xzpf9PjA3t0TkfuRpzfwp,93.0
0A45A87BXPvAibaEXe8zBeLfIMmoBD2l8CFV9VL9,10.0
0A58540EXPvAibaEXe/+b5Kl21hphpgOOfFztPNN,79.0
0A69D24BXPvAibaEXe9j81k8MH0oJxqAQ+z1dx73,11.0
0A69D9BBXPvAibaEXe/yTqQKv0UsdQB4zgad4eTm,3.0
0A73079AXPvAibaEXe+KaiYHkmXYCa8n8sqo2JAo,7.0
0A752E9CXPvAibaEXe9mv02dd1fbUzxs/HNbbxVV,8.0
0A8562CBXPvAibaEXe+tg0ae8qw/gj/c8Ef51TLi,3.0
