mssv,diem_tt,OTHER,THPT,ĐGNL,hedt_CLC,hedt_CNTN,hedt_CQUI,hedt_CTTT,hedt_KSTN,khoa_CNPM,khoa_HTTT,khoa_KHMT,khoa_KTMT,khoa_KTTT,khoa_MMT&TT,chuyennganh2_7340122_CLC,chuyennganh2_7340122_CQ,chuyennganh2_7480101_CLC,chuyennganh2_7480101_CQ,chuyennganh2_7480101_CTTN,chuyennganh2_7480102_CLC,chuyennganh2_7480102_CQ,chuyennganh2_7480103_CLC,chuyennganh2_7480103_CQ,chuyennganh2_7480104_CLC,chuyennganh2_7480104_CQ,chuyennganh2_7480104_CTTT,chuyennganh2_7480106_CLC,chuyennganh2_7480106_CQ,chuyennganh2_7480109_CQ,chuyennganh2_7480201_CLC,chuyennganh2_7480201_CQ,chuyennganh2_7480202_CLC,chuyennganh2_7480202_CQ,chuyennganh2_7480202_CTTN,noisinh_0,noisinh_1,noisinh_2,noisinh_3,noisinh_4,noisinh_5,noisinh_6,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16,label
4374EDBEXPvAibaEXe8scZUjY2tXhzKEGuZfEnUy,22.75,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.84,5.64,6.75,6.91,5.89,-1.0,5.98,6.01,-1.0,6.46,5.99,-1.0,2.3,5.1,-1.0,5.1,7.8,-1.0,3.5,-1.0,-1.0,-1.0,73.0,0.0,48.0,0.0,62.0,0.0,42.0,0.0,77.0,0.0,68.0,0.0,65.0,0.0,55.0,0.0,2
158BDF19XPvAibaEXe8scZUjY2tXh6jnrItb7Hs8,21.75,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.21,6.24,8.4,7.55,7.37,-1.0,7.1,7.92,8.4,7.45,7.14,-1.0,7.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0.0,88.0,0.0,77.0,0.0,79.0,0.0,80.0,0.0,90.0,0.0,86.0,0.0,80.0,0.0,1
C3B47C00XPvAibaEXe/j7U1wtp2b2Ueyv41BSDns,23.25,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6.35,4.6,-1.0,5.98,6.08,5.6,5.18,5.54,4.2,5.84,6.41,6.4,6.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,91.0,0.0,97.0,0.0,76.0,0.0,85.0,0.0,80.0,0.0,79.0,0.0,85.0,0.0,80.0,0.0,2
8D75693DXPvAibaEXe/j7U1wtp2b2dfAfhlet5wl,23.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.27,7.65,-1.0,8.12,8.19,-1.0,7.94,9.13,-1.0,8.39,8.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.0,0.0,69.0,0.0,70.0,0.0,82.0,0.0,80.0,0.0,85.0,0.0,76.0,0.0,85.0,0.0,0
3271AC4AXPvAibaEXe/j7U1wtp2b2TqP53pszNwW,21.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.2,5.64,6.69,6.59,5.64,-1.0,6.15,6.41,7.45,6.95,4.76,-1.0,3.0,-1.0,-1.0,0.11,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,92.0,0.0,77.0,0.0,53.0,0.0,62.0,0.0,80.0,0.0,80.0,0.0,76.0,0.0,79.0,0.0,3
63DFD711XPvAibaEXe/j7U1wtp2b2QaSZZf1duYC,22.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.29,5.01,-1.0,5.82,5.45,-1.0,4.61,7.08,-1.0,6.71,7.21,7.1,6.27,8.25,-1.0,7.1,7.6,-1.0,-1.0,-1.0,-1.0,-1.0,89.0,0.0,76.0,0.0,68.0,0.0,95.0,0.0,75.0,0.0,90.0,0.0,68.0,0.0,68.0,0.0,2
B8017932XPvAibaEXe/j7U1wtp2b2YsjtHV6DvB+,23.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.22,7.28,-1.0,7.39,7.19,-1.0,6.66,7.18,-1.0,7.34,8.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,73.0,0.0,68.0,0.0,64.0,0.0,73.0,0.0,80.0,0.0,80.0,0.0,68.0,0.0,65.0,0.0,1
393A8579XPvAibaEXe/j7U1wtp2b2fbD/nh3qR8T,23.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.96,5.15,-1.0,6.38,6.73,7.5,7.66,6.75,-1.0,7.75,8.72,-1.0,7.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,0.0,73.0,0.0,64.0,0.0,67.0,0.0,76.0,0.0,85.0,0.0,80.0,0.0,75.0,0.0,1
BBA521B8XPvAibaEXe/j7U1wtp2b2WR3bKAVoWfk,23.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6.78,4.5,6.8,6.39,6.49,-1.0,7.07,7.02,-1.0,6.28,7.36,6.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.0,0.0,73.0,0.0,66.0,0.0,79.0,0.0,76.0,0.0,75.0,0.0,81.0,0.0,80.0,0.0,2
262FE23FXPvAibaEXe8AMmr3Xq9FJw523YUSmlZ1,23.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.57,8.62,-1.0,7.82,7.66,-1.0,7.11,7.94,-1.0,7.5,7.84,-1.0,8.16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0.0,100.0,0.0,89.0,0.0,99.0,0.0,90.0,0.0,100.0,0.0,86.0,0.0,80.0,0.0,0
