mssv,hocky,namhoc,dtbhk,sotchk
2F1A3A14XPvAibaEXe8P2qR1W0njZcUeCNRNUxxP,1,2020,8.8,12
A5A4E076XPvAibaEXe8P2qR1W0njZVbn+j4zMLvg,1,2020,5.59,18
C9C925F1XPvAibaEXe8P2qR1W0njZRbbNYW6PsHu,1,2020,7.24,20
261932E4XPvAibaEXe/wtdrPHYnwmfh0UZ/QxVY5,1,2020,8.63,12
AB3929FEXPvAibaEXe/wtdrPHYnwmaY0fuGgX/bD,1,2020,7.69,16
D0CDF6CAXPvAibaEXe/wtdrPHYnwmR/cDQHjMl2m,1,2020,6.61,16
4E87AA1CXPvAibaEXe/wtdrPHYnwmeYUhteR+r0u,1,2020,7.12,14
DFFFACE6XPvAibaEXe/wtdrPHYnwmSVeAyXySzAW,1,2020,8.5,12
5974517AXPvAibaEXe/wtdrPHYnwmQBHDx2gTEdb,1,2020,5.61,15
78C54EAEXPvAibaEXe/wtdrPHYnwmS5oN2Zd/qz9,1,2020,7.06,20
25790AFDXPvAibaEXe+Tyn6K74w+Tg2gwyQs3SUU,1,2020,3.43,15
1ED4381FXPvAibaEXe+Tyn6K74w+TgfS3TUdKAep,1,2020,6.27,14
53903E60XPvAibaEXe+Tyn6K74w+TmPj/ntJJCnE,1,2020,6.83,18
6BF6BEF0XPvAibaEXe+ZE1D25ZBslg3YZHyy0G3+,1,2020,6.94,18
CB39E951XPvAibaEXe+ZE1D25ZBsljGddGOBwX4V,1,2020,8.59,16
D27C3528XPvAibaEXe+ZE1D25ZBslr05B3SW/Br1,1,2020,7.06,19
2E22AF74XPvAibaEXe+ZE1D25ZBslqzeMlpTJS8O,1,2020,7.19,15
8EC19BC2XPvAibaEXe+ZE1D25ZBslizpQqx/oEu/,1,2020,6.62,19
6B274259XPvAibaEXe+ZE1D25ZBslrjgNIZ/oRUA,1,2020,6.57,18
8E0A5C2EXPvAibaEXe+ZE1D25ZBslqyKdH19iXTn,1,2020,7.21,16
B7C2007CXPvAibaEXe9OEzZOWq/0ASeCMBMAWAPQ,1,2020,7.05,20
F8A7D336XPvAibaEXe9OEzZOWq/0ASUygXOa0bUc,1,2020,7.51,18
75CBFE98XPvAibaEXe9OEzZOWq/0AfqL6t/suYW7,1,2020,7.76,7
9BE68FFAXPvAibaEXe9OEzZOWq/0AUu5ItBCG4Qi,1,2020,9.18,20
5B6C2D1CXPvAibaEXe9OEzZOWq/0AV3dTb+SRC/n,1,2020,7.44,18
199EAE21XPvAibaEXe9OEzZOWq/0AQYbUjKJ0HdN,1,2020,8.97,14
9BD98E2BXPvAibaEXe/Wt8E7RL2wg5KbTmE/K01b,1,2020,6.41,16
BA420785XPvAibaEXe/Wt8E7RL2wg6iGc0ihHyU8,1,2020,5.15,16
10F21DF8XPvAibaEXe/Wt8E7RL2wg+cDkGn+ULfc,1,2020,5.31,16
1D46E64BXPvAibaEXe+g4Lk2o86SJ+v/r0m5kLSw,1,2020,7.11,17
07401B1CXPvAibaEXe+g4Lk2o86SJ077zo0VZ566,1,2020,8.5,14
1A16DB8DXPvAibaEXe+g4Lk2o86SJ/Fb3stf6IxR,1,2020,8.61,20
810F3500XPvAibaEXe+g4Lk2o86SJ7gRdXikEg4S,1,2020,7.41,19
D8021A05XPvAibaEXe+g4Lk2o86SJ/sccR45YPf5,1,2020,7.43,15
C370B255XPvAibaEXe+g4Lk2o86SJx91J3RdgrAZ,1,2020,8.23,12
6CD057E6XPvAibaEXe9yFa4Od3meJx0bbEHnAUJt,1,2020,8.45,16
B94F96FAXPvAibaEXe9yFa4Od3meJy+oVlmV8iBp,2,2020,8.31,21
577CBCE3XPvAibaEXe9yFa4Od3meJwfl2hF38zjl,1,2020,7.12,19
9DBC26F9XPvAibaEXe9yFa4Od3meJ/G83TK37kxk,1,2020,6.51,20
