mssv,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
84E8B7EAXPvAibaEXe/HUuIVo8uCRwz6R8b6awLs,0.611,0.615,-1.0,0.584,0.613,-1.0,0.621,0.714,-1.0,0.644,0.675,-1.0,0.257,0.769,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.95,0.85,0.9,0.9,0.72,0.84,0.77,0.86,0.63,0.71,0.475,-1.0,-1.0,-1.0,-1.0,-1.0
84F1726EXPvAibaEXe/FejQN8/S5fHF/hPdc4T81,0.571,0.612,0.0,0.722,0.6,-1.0,0.33199999999999996,0.453,0.454,0.40199999999999997,0.41100000000000003,0.0,0.279,0.34900000000000003,-1.0,0.558,0.259,0.303,0.302,0.129,-1.0,0.41500000000000004,1.0,0.94,0.94,0.48,0.48,0.61,0.23,0.43,0.16,0.35,0.1625,0.45454545454545453,0.3333333333333333,0.8333333333333334,0.0,-1.0
85100785XPvAibaEXe9FiaSoce50DO/IaKolpO0O,0.595,0.688,0.65,0.8119999999999999,0.682,0.53,0.665,0.72,0.7,0.63,0.751,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.94,0.94,0.94,0.83,0.83,0.82,0.82,0.67,0.76,0.85,0.7875,0.4935064935064935,-1.0,-1.0,-1.0,-1.0
852208ADXPvAibaEXe8mAGU8TlDzss7DwViJt/jj,0.737,0.557,-1.0,0.693,0.6809999999999999,-1.0,0.7,0.558,-1.0,0.596,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.77,0.67,0.81,0.75,0.84,0.7,0.62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
853C37D0XPvAibaEXe94sKKoWENjB9jIyDYOxlKa,0.905,0.881,-1.0,0.8099999999999999,0.818,-1.0,0.86,0.836,-1.0,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
854DCE91XPvAibaEXe+VxRd54HULEx9Z17eOqRWj,0.71,0.828,-1.0,0.741,0.775,0.63,0.8,0.8400000000000001,-1.0,0.7969999999999999,0.7929999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.8,0.85,0.75,0.85,0.96,0.86,0.86,0.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
85517F77XPvAibaEXe92Mw4ZEAxz00FpFR/WdtyQ,0.466,0.339,-1.0,0.669,0.647,-1.0,0.441,0.673,0.771,0.628,0.689,-1.0,0.643,0.708,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.42,0.38,0.8,0.9,0.71,0.8,0.74,0.79,0.74,0.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
85573622XPvAibaEXe/F8UIBT+N0T6mWVF6dx9aU,0.9109999999999999,0.737,-1.0,0.76,0.709,-1.0,0.778,0.742,-1.0,0.764,0.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.88,1.0,1.0,0.95,1.0,1.0,0.85,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
855EBAB6XPvAibaEXe/GP74oAJxkeFK3GK4jlLCA,0.597,0.5589999999999999,0.75,0.613,0.52,-1.0,0.7070000000000001,0.6679999999999999,-1.0,0.616,0.626,-1.0,0.5599999999999999,0.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.88,0.88,0.79,0.84,0.68,0.74,0.75,0.6,0.65,0.64,0.6875,0.45454545454545453,-1.0,-1.0,-1.0,-1.0
856DA928XPvAibaEXe9cYfl6D6BtPIX0tfSptrp+,0.8119999999999999,0.658,-1.0,0.751,0.779,0.72,0.619,0.742,-1.0,0.75,0.733,-1.0,0.8390000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.6,0.72,0.8,0.66,0.63,0.51,0.68,0.68,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
